Model,Graph name,n,m,d,g,Solve Status,#Nonzero,#B&B Nodes,LB,UB,Solve Time
cB,polbooks,105,441,6,1,2,2334,0,6,6,0.07
cB,adjnoun,112,425,6,2,2,2937,0,5,5,0.06
cB,celegans_metabolic,453,2025,10,2,2,10623,0,9,9,0.11
cB,delaunay_n10,1024,3056,4,1,2,15834,0,4,4,0.14
cB,email,1133,5451,11,0,2,46404,0,12,12,0.33
cB,polblogs,1490,16715,36,17,2,287955,3,20,20,24.8
cB,delaunay_n11,2048,6127,4,1,2,31938,0,4,4,0.24
cB,power,4941,6594,5,0,2,38091,0,6,6,0.25
cB,PGPgiantcompo,10680,24316,31,7,2,126672,0,25,25,1.36
cB,astro-ph,16706,121251,56,0,2,797145,0,57,57,21.39
cB,cond-mat,16726,47594,17,0,2,228906,0,18,18,1.82
cB,as-22july06,22963,48436,25,9,2,290895,0,17,17,2.71
cB,Cit-HepTh,27770,352285,37,15,2,6994908,0,23,23,317.14
cB,cond-mat-2003,31163,120029,24,0,2,676029,0,25,25,10.93
cB,Cit-HepPh,34546,420877,30,12,2,7429218,3,19,19,653.71
cB,cond-mat-2005,40421,175691,29,0,2,1121169,0,30,30,29.33
cB,preferentialAttachment,100000,499985,5,0,2,4787244,0,6,6,844.32
cB,smallworld,100000,499998,7,2,2,3423471,0,6,6,2254.89
cB,G_n_pin_pout,100000,501198,7,NA,9,4996161,0,1,100000,TLR
cB,luxembourg,114599,119666,2,0,2,720078,0,3,3,3.64
cB,cnr-2000,325557,2738969,83,0,2,32697867,0,84,84,2505.75
cB,web-NotreDame,325729,1090108,155,1,2,6510549,0,155,155,201.28
cB,belgium,1441295,1549970,3,1,2,9330042,0,3,3,56.63
cB,hamming8-2,256,31616,247,120,2,279936,0,128,128,3.65
cB,hamming8-4,256,20864,163,NA,9,1258428,3704,16,78,TLR
cB,hamming10-2,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
sJ,polbooks,105,441,6,1,2,2164,16,6,6,13.99
sJ,adjnoun,112,425,6,2,2,2172,87,5,5,0.55
sJ,celegans_metabolic,453,2025,10,2,2,9700,39,9,9,0.64
sJ,delaunay_n10,1024,3056,4,1,2,17361,936,4,4,12.35
sJ,email,1133,5451,11,0,2,25418,0,12,12,0.91
sJ,polblogs,1490,16715,36,17,2,62066,7867,20,20,42.7
sJ,delaunay_n11,2048,6127,4,1,2,34766,2135,4,4,120.75
sJ,power,4941,6594,5,0,2,59311,0,6,6,7.32
sJ,PGPgiantcompo,10680,24316,31,7,2,158389,692,25,25,84.6
sJ,astro-ph,16706,121251,56,0,2,497402,0,57,57,272.29
sJ,cond-mat,16726,47594,17,2.84E-14,2,276591,0,18,18,88.43
sJ,as-22july06,22963,48436,25,9,2,329013,1747,17,17,308.61
sJ,Cit-HepTh,27770,352285,37,NA,9,1279016,0,1,27770,TLR
sJ,cond-mat-2003,31163,120029,24,-4.26E-14,2,609392,0,25,25,288.41
sJ,Cit-HepPh,34546,420877,30,NA,9,1539000,0,1,34546,TLR
sJ,cond-mat-2005,40421,175691,29,3.55E-15,2,850442,0,30,30,683.29
sJ,preferentialAttachment,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
sJ,smallworld,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
sJ,G_n_pin_pout,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
sJ,luxembourg,114599,119666,2,0,2,1275791,0,3,3,1501.11
sJ,cnr-2000,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
sJ,web-NotreDame,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
sJ,belgium,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
sJ,hamming8-2,256,31616,247,120,2,96897,0,128,128,0.49
sJ,hamming8-4,256,20864,163,148,2,64641,5993645,16,16,2232.63
sJ,hamming10-2,1024,518656,1013,502,2,1564161,0,512,512,6.92
s,polbooks,105,441,6,1,2,1198,257,6,6,0.12
s,adjnoun,112,425,6,2,2,1187,531,5,5,0.18
s,celegans_metabolic,453,2025,10,2,2,5410,1306,9,9,0.69
s,delaunay_n10,1024,3056,4,1,2,9185,2490,4,4,6.34
s,email,1133,5451,11,-7.46E-14,2,14302,1965,12,12,4.16
s,polblogs,1490,16715,36,17,2,37901,288255,20,20,209.73
s,delaunay_n11,2048,6127,4,1,2,18399,5201,4,4,71.18
s,power,4941,6594,5,0,2,28012,695,6,6,21.18
s,PGPgiantcompo,10680,24316,31,7,2,80673,4913,25,25,177.93
s,astro-ph,16706,121251,56,0,2,292621,1592,57,57,339.94
s,cond-mat,16726,47594,17,0,2,145367,1969,18,18,339.31
s,as-22july06,22963,48436,25,9,2,165762,7266,17,17,856.66
s,Cit-HepTh,27770,352285,37,NA,9,787881,3557,10,2741,TLR
s,cond-mat-2003,31163,120029,24,0,2,333548,5762,25,25,1021.08
s,Cit-HepPh,34546,420877,30,NA,9,945393,3507,11,3410,TLR
s,cond-mat-2005,40421,175691,29,0,2,472646,9553,30,30,2974
s,preferentialAttachment,100000,499985,5,NA,9,1299971,0,1,100000,TLR
s,smallworld,100000,499998,7,NA,9,1299997,0,1,100000,TLR
s,G_n_pin_pout,100000,501198,7,NA,9,1302397,0,1,100000,TLR
s,luxembourg,114599,119666,2,9,NA,583130,2,1,57298.99999,TLR
s,cnr-2000,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
s,web-NotreDame,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
s,belgium,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
s,hamming8-2,256,31616,247,120,2,64001,0,128,128,0.24
s,hamming8-4,256,20864,163,148,2,42497,6410637,16,16,2496.82
s,hamming10-2,1024,518656,1013,502,2,1040385,0,512,512,5
c,polbooks,105,441,6,1,2,10038,184,6,6,1.15
c,adjnoun,112,425,6,2,2,11582,203,5,5,1.26
c,celegans_metabolic,453,2025,10,2,2,200706,868,9,9,60.16
c,delaunay_n10,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
c,email,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
c,polblogs,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
c,delaunay_n11,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
c,power,4941,6594,5,NA,Abort before build,NA,NA,NA,NA,NA
c,PGPgiantcompo,10680,24316,31,NA,Abort before build,NA,NA,NA,NA,NA
c,astro-ph,16706,121251,56,NA,Abort before build,NA,NA,NA,NA,NA
c,cond-mat,16726,47594,17,NA,Abort before build,NA,NA,NA,NA,NA
c,as-22july06,22963,48436,25,NA,Abort before build,NA,NA,NA,NA,NA
c,Cit-HepTh,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
c,cond-mat-2003,31163,120029,24,NA,Abort before build,NA,NA,NA,NA,NA
c,Cit-HepPh,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
c,cond-mat-2005,40421,175691,29,NA,Abort before build,NA,NA,NA,NA,NA
c,preferentialAttachment,100000,499985,5,NA,Abort before build,NA,NA,NA,NA,NA
c,smallworld,100000,499998,7,NA,Abort before build,NA,NA,NA,NA,NA
c,G_n_pin_pout,100000,501198,7,NA,Abort before build,NA,NA,NA,NA,NA
c,luxembourg,114599,119666,2,NA,Abort before build,NA,NA,NA,NA,NA
c,cnr-2000,325557,2738969,83,NA,Abort before build,NA,NA,NA,NA,NA
c,web-NotreDame,325729,1090108,155,NA,Abort before build,NA,NA,NA,NA,NA
c,belgium,1441295,1549970,3,NA,Abort before build,NA,NA,NA,NA,NA
c,hamming8-2,256,31616,247,120,2,2048,0,128,128,0.98
c,hamming8-4,256,20864,163,148,2,23552,3468318,16,16,1184.02
c,hamming10-2,1024,518656,1013,502,2,10240,0,512,512,0.44
