Model,Graph name,n,m,d,g,Solve Status,#Nonzero,#B&B Nodes,LB,UB,Solve Time
cB,polbooks,105,441,6,2,1,2334,0,6,6,0.063000202
cB,adjnoun,112,425,6,2,2,2937,0,5,5,0.057000399
cB,celegans_metabolic,453,2025,10,2,2,10623,0,9,9,0.102997541
cB,email,1133,5451,11,2,0,46404,0,12,12,0.394991398
cB,polblogs,1490,16715,36,2,17,287955,3,20,20,24.52799535
cB,netscience,1589,2742,19,2,0,13137,0,20,20,0.114109755
cB,delaunay_n11,2048,6127,4,2,1,31938,0,4,4,0.220010757
cB,power,4941,6594,5,2,0,38091,0,6,6,0.23200345
cB,PGPgiantcompo,10680,24316,31,2,7,126672,0,25,25,1.269958019
cB,astro-ph,16706,121251,56,2,0,797145,0,57,57,21.5987339
cB,cond-mat,16726,47594,17,2,0,228906,0,18,18,1.832004786
cB,memplus,17758,54196,96,2,0,215862,0,97,97,2.82800293
cB,as-22july06,22963,48436,25,2,9,290895,0,17,17,2.55199337
cB,cond-mat-2003,31163,120029,24,2,0,676029,0,25,25,10.86700082
cB,cond-mat-2005,40421,175691,29,2,0,1121169,0,30,30,28.47196341
cB,G_n_pin_pout,100000,501198,7,9,NA,4996161,0,1,100000,TLR
cB,smallworld,100000,499998,7,2,2,3423471,0,6,6,2244.451038
cB,preferentialAttachment,100000,499985,5,2,0,4787244,0,6,6,857.7950106
cB,luxembourg,114599,119666,2,2,0,720078,0,3,3,3.334003448
cB,cnr-2000,325557,2738969,83,2,0,32697867,0,84,84,2477.651319
cB,belgium,1441295,1549970,3,1,2,9330042,0,3,3,54.21166492
cB,Cit-HepPh,34546,420877,30,12,2,7429218,3,19,19,643.2259805
cB,Cit-HepTh,27770,352285,37,15,2,6994908,0,23,23,305.9324818
cB,soc-Epinions,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
cB,Slashdot0811,77360,469180,54,NA,9,12710976,13,25,29,TLR
cB,web-NotreDame,325729,1090108,155,1,2,6510549,0,155,155,198.2649007
cB,Wiki-Vote,7115,100762,53,NA,9,3583551,1,1,27,TLR
sJ,polbooks,105,441,6,2,1,2164,16,6,6,0.179000378
sJ,adjnoun,112,425,6,2,2,2172,87,5,5,0.117999315
sJ,celegans_metabolic,453,2025,10,2,2,9700,39,9,9,0.302001476
sJ,delaunay_n10,1024,3056,4,2,1,17361,936,4,4,12.42600417
sJ,email,1133,5451,11,2,0,25418,0,12,12,0.824001789
sJ,polblogs,1490,16715,36,2,17,62066,7867,20,20,41.55700183
sJ,netscience,1589,2742,19,2,0,20939,0,20,20,0.878996849
sJ,delaunay_n11,2048,6127,4,2,1,34766,2135,4,4,116.5650051
sJ,power,4941,6594,5,2,0,59311,0,6,6,6.93100214
sJ,PGPgiantcompo,10680,24316,31,2,7,158389,692,25,25,83.06299853
sJ,astro-ph,16706,121251,56,2,0,497402,0,57,57,269.1310008
sJ,cond-mat,16726,47594,17,2,2.84E-14,276591,0,18,18,88.05699944
sJ,memplus,17758,54196,96,2,0,304653,0,97,97,86.9659977
sJ,as-22july06,22963,48436,25,2,9,329013,1747,17,17,304.2390013
sJ,cond-mat-2003,31163,120029,24,2,-4.26E-14,609392,0,25,25,268.5389986
sJ,cond-mat-2005,40421,175691,29,2,3.55E-15,850442,0,30,30,658.5609939
sJ,G_n_pin_pout,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
sJ,smallworld,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
sJ,luxembourg,114599,119666,2,2,0,1275791,0,3,3,1509.395038
sJ,cnr-2000,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
sJ,preferentialAttachment,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
sJ,belgium,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
sJ,Cit-HepPh,34546,420877,30,NA,9,1539000,0,1,34546,TLR
sJ,Cit-HepTh,27770,352285,37,NA,9,1279016,0,1,27770,TLR
sJ,Slashdot0811,77360,469180,54,NA,9,2026421,0,1,77360,TLR
sJ,web-NotreDame,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
sJ,Wiki-Vote,7115,100762,53,NA,9,359207,8223,15,53,TLR
sJ,Cit-HepPh,34546,420877,30,NA,9,1539000,0,1,34546,TLR
c,polbooks,105,441,6,2,1,10038,184,6,6,2.684252977
c,adjnoun,112,425,6,2,2,11582,203,5,5,1.255990744
c,celegans_metabolic,453,2025,10,2,2,200706,868,9,9,61.6299572
c,email,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
c,polblogs,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
c,netscience,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
c,delaunay_n11,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
c,power,4941,6594,5,NA," ""Abort before build""",,NA,NA,NA,NA
c,PGPgiantcompo,10680,24316,31,NA," ""Abort before build""",,NA,NA,NA,NA
c,astro-ph,16706,121251,56,NA," ""Abort before build""",,NA,NA,NA,NA
c,cond-mat,16726,47594,17,NA," ""Abort before build""",,NA,NA,NA,NA
c,memplus,17758,54196,96,NA," ""Abort before build""",,NA,NA,NA,NA
c,as-22july06,22963,48436,25,NA," ""Abort before build""",,NA,NA,NA,NA
c,cond-mat-2003,31163,120029,24,NA," ""Abort before build""",,NA,NA,NA,NA
c,cond-mat-2005,40421,175691,29,NA," ""Abort before build""",,NA,NA,NA,NA
c,G_n_pin_pout,100000,501198,7,NA," ""Abort before build""",,NA,NA,NA,NA
c,smallworld,100000,499998,7,NA," ""Abort before build""",,NA,NA,NA,NA
c,preferentialAttachment,100000,499985,5,NA," ""Abort before build""",,NA,NA,NA,NA
c,luxembourg,114599,119666,2,NA," ""Abort before build""",,NA,NA,NA,NA
c,cnr-2000,325557,2738969,83,NA," ""Abort before build""",,NA,NA,NA,NA
s,polbooks,105,441,6,2,1,1198,257,6,6,0.564027309
s,adjnoun,112,425,6,2,2,1187,531,5,5,0.208493471
s,celegans_metabolic,453,2025,10,2,2,5410,1306,9,9,0.65700078
s,delaunay_n10,1024,3056,4,2,1,9185,2490,4,4,6.431995153
s,email,1133,5451,11,2,-7.46E-14,14302,1965,12,12,4.071411371
s,polblogs,1490,16715,36,2,17,37901,288255,20,20,187.7510211
s,netscience,1589,2742,19,2,0,10252,101,20,20,2.621967316
s,delaunay_n11,2048,6127,4,2,1,18399,5201,4,4,70.3879571
s,power,4941,6594,5,2,0,28012,695,6,6,20.10200167
s,PGPgiantcompo,10680,24316,31,2,7,80673,4913,25,25,175.7749996
